date,price
6/18/2016,748.76
6/19/2016,756.69
6/20/2016,763.93
6/21/2016,735.88
6/22/2016,665.91
6/23/2016,597.44
6/24/2016,625.58
6/25/2016,665.28
6/26/2016,665.93
6/27/2016,629.35
6/28/2016,658.1
6/29/2016,644.12
6/30/2016,640.59
7/1/2016,672.51
7/2/2016,676.73
7/3/2016,704.97
7/4/2016,658.8
7/5/2016,683.21
7/6/2016,670.42
7/7/2016,678.09
7/8/2016,640.69
7/9/2016,666.38
7/10/2016,650.6
7/11/2016,648.48
7/12/2016,648.28
7/13/2016,664.8
7/14/2016,652.92
7/15/2016,659.17
7/16/2016,663.78
7/17/2016,661.99
7/18/2016,679.81
7/19/2016,672.74
7/20/2016,672.81
7/21/2016,665.23
7/22/2016,664.92
7/23/2016,650.73
7/24/2016,655.41
7/25/2016,661.26
7/26/2016,654.23
7/27/2016,651.63
7/28/2016,654.49
7/29/2016,655.11
7/30/2016,657.01
7/31/2016,655.1
8/1/2016,624.6
8/2/2016,606.4
8/3/2016,548.66
8/4/2016,566.33
8/5/2016,578.28
8/6/2016,575.03
8/7/2016,587.77
8/8/2016,592.74
8/9/2016,591.04
8/10/2016,587.65
8/11/2016,592.12
8/12/2016,588.8
8/13/2016,587.36
8/14/2016,585.59
8/15/2016,570.49
8/16/2016,567.24
8/17/2016,577.76
8/18/2016,573.71
8/19/2016,574.34
8/20/2016,576.08
8/21/2016,581.94
8/22/2016,581.31
8/23/2016,586.77
8/24/2016,583.41
8/25/2016,580.18
8/26/2016,577.75
8/27/2016,579.45
8/28/2016,569.83
8/29/2016,574.07
8/30/2016,574.11
8/31/2016,577.59
9/1/2016,575.55
9/2/2016,572.41
9/3/2016,575.55
9/4/2016,598.59
9/5/2016,608.99
9/6/2016,606.51
9/7/2016,610.57
9/8/2016,614.63
9/9/2016,626.35
9/10/2016,622.93
9/11/2016,623.42
9/12/2016,607
9/13/2016,608.02
9/14/2016,608.84
9/15/2016,610.59
9/16/2016,607.25
9/17/2016,607.22
9/18/2016,606.28
9/19/2016,609.87
